	sentiment	content
3	fun	wants to hang out with friends soon
4	neutral	 we want to trade with someone who has houston tickets but no one will 
6	sadness	i should be sleep but im not thinking about an old friend who i want  but hes married now  damn amp he wants me 2 scandalous
8	sadness	 charlene my love  i miss you
9	sadness	 im sorry  at least its friday
12	sadness	ugh i have to beat this stupid song to get to the next  rude
15	sadness	the storm is here and the electricity is gone
17	sadness	so sleepy again and its not even that late  i fail once again 
18	worry	 lady gaga tweeted about not being impressed by her video leaking just so you know
19	sadness	how are you convinced that i have always wanted you what signals did i give off damn i think i just lost another friend
20	worry	 oh too bad i hope it gets better  ive been having sleep issues lately too
23	worry	i ate something i dont know what it is  why do i keep telling things about food
26	sadness	  im sorry people are so rude to you isaac they should get some manners and know better than to be so lewd
28	sadness	fudge  just bsd that whole paper  so tired  ugh i hate school   time to sleep
29	worry	i hate cancer  i hate it i hate it i hate it 
30	anger	it is so annoying when she starts typing on her computer in the middle of the night
32	neutral	i missed the bly bus
34	neutral	socal  stoked  or maybe not  tomorrow
35	neutral	screw you  i only have 3 weeks 
36	sadness	 yeah s i feel all funny cause i havent slept enough  i woke my mum up cause i was singing shes not impressed s you
40	fun	mmm much better day  so far its still quite early  last day of uds
42	worry	just picked up her blackberry from the middle of the street both she and it are crushed
43	worry	why do i have the feeling i should be packing and hitting for sfo around this time of the year i think im missing something 
44	sadness	 middle school and elem  high schools will remain open for those who need credits to graduate  cali is broken
45	worry	bed  its time  hope i go to school tomorrow all though i dont feel very well right now
46	worry	 ahh     well i was hoping that i could learn some stuff on the way    why not you and i work on separate things but also
47	sadness	im having a problem with my photo here in twitter amf cant see my face
50	neutral	chocolate milk is so much better through a straw  i lack said straw
51	worry	why am i so tired
54	neutral	  no way damn that sucks b  are you ok
55	worry	sucks not being able to take days off of work or have the money to take the trip  so sad
56	fun	bed sorta  today was good sara has strep thought angelina does to i shared a water with her b4 they told me i will prob get it to
57	neutral	 the recession  her hotel are restructuring how the accounts are done  adds a bit more pressure in the short term but well cope
58	neutral	 but i got dibs on sulu 
59	sadness	 aww  onward and upwards now yay still sad to leave i bet 
60	worry	 at once haha   poor aby still gets sore
63	sadness	  in all honesty pain   blech 
64	sadness	ok   the passengers   no one is alive   theyre all dead   you just dont know it til the end   then you cry  
65	neutral	at home alone with not much to do
66	worry	 ia so much i havent really been happy with any of cooks choices for singles 
67	sadness	   i fell asleep on the beach and didnt put on enough sunscreen  lol
69	fun	so great to see oin amp cynthia   so happy   dinner was great cute little place   too bad oin got sick afterwards 
72	neutral	brothers bloom wont be opening this weekend in el paso   ill just buy brick and enjoy that until i can watch brothers bloom 
77	fun	  dude that is my favorite sandwich place ever  ummm did you take pictures
78	worry	is sad that shin ae got married and it wasnt to alex
80	sadness	 ohh thursday i have exams  all day  what about wednesday 
81	neutral	there was a mix up with my dentist appt this afternoon  so they rescheduled me for tomorrow  9am 
82	sadness	  i was just thinking about how excited i am for you guys to move but then i realized how sad i am to see you go 
86	anger	dammit hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers  so i cant watch and code
87	worry	 i am jealous of your mom talking to   i want to see you all our twittering is making me miss you
88	worry	i cant sleep i keep thinking about the puppy i played with today
93	neutral	 work at 6am  gotta go to bed soon
100	worry	first ever dropped call on my mobile  on a call to  no less  being charged for data even though i have a data pack  
102	neutral	oh is that time for real
103	sadness	darn these allergies i dont like this time of year because of this i never used to have this problem either
104	worry	oh no one minute too late oh well
106	sadness	 i wanted to come to bz this summer  not so sure anymore  a teachers life in the summer sucks
107	anger	 this website gave me a virus when i opened it more windows kept popping up
108	worry	ahh big scary bug flying around my room
109	sadness	i wish she knew what she puts me through she stole my heart never gave it back and occasionally she likes to be like look what i have
110	worry	is up with a nasty cough i cant be sick i have a huge weekend ahead of me
111	neutral	  that was stone cold   crazy   
115	neutral	 i second that  i wish it rained more where i am
117	neutral	damn it were is eric or anyone else when you need your hair to be played with
118	neutral	im feel deflated  ugh  no more dog 
120	neutral	well it almost was a good day  guess i just retry tomorrow
122	love	 sounds good  appreciate the suggestion  been a week now and were still offline  time to ask for a refund 
123	worry	 he died   wait what about magic jack i just read it 
129	worry	 my nose stud fell out and i cant find it  looks like ill have to head into amsterdam today and get a new one
130	neutral	claire  love the show got into the office  5am and no radio
131	love	pats in philly at 2 am  i love it  mmm cheesesteak   miss my boyfriend   but i love vacation 
132	sadness	sigh im going to bed  i just dont feel right anymore 
133	neutral	what i focused on tom so much i didnt see my beloved barack oh no i must vote for both poor president only has 626 votes 
134	neutral	 epicentre wheelock place  tourists only 
135	sadness	now i am depressed after watching so you think you can dance
136	sadness	just cross cause im stuck twiddling my thumbs now ugh
138	neutral	 i know  but like i said i have no idea how long it takes for them to investigate this stuff 
139	worry	i cant sleep but im too sore to move
141	sadness	 just answered you never learned how to write in french just basic stuff
142	neutral	what is it with chocolates i just can never say no
143	worry	achieving a new appreciation on how a xml build script can really be painful and cumbersome
144	neutral	 im too awake now  ill have a nap this afternoon
146	neutral	still needs another 6 hours of sleep
148	fun	rip leonardo  you were a great mini fiddler crab
150	sadness	last day working for the uni today sad times
152	worry	my head hurts so bad i could scream
154	worry	new work wellness challenge not going well   i committed to not check email between 10 pm and 6 am   failed on first day   twice
158	worry	im showing my age  renewed my tags last week went down 20  got my insurance renewal email today went down 100  i dont wanna be old
159	worry	my sole supporter is not my sole supporter
160	anger	dont you hate it when you finish all your work and theres still 1 25 hours left of work time
162	sadness	is still missing her husband     i really want him home 
165	fun	 up is out  i didnt get the memo   it looks amazing 
166	sadness	 ive given up on pizza  kids would never let me have my fav  the hot ones
167	worry	up reading tabloids about other peoples lives thinking what im gonna do with mine when my baby leaves
168	sadness	 yearling in pet home died  very sad for their whole family
169	neutral	fun in the sun hmmm hell no its cold
170	worry	i got a giant splinter stuck up underneath my finger nail today at muppets it hurt   but i got to go to first aid for the first time
173	sadness	well fuck this new pain med has an odd warning that actually applies to me  i cant take this  chan is displeased 
174	sadness	just uploaded my new blog  a painful story about an 80s year old man who cried because he wanted to die  very sad
175	neutral	 i dont think so   i want details 
176	neutral	 hi  who is mary poppins
177	worry	 its so addicting but its kind of a curse to do them at night time  everytime i do one i feel like making music afterwards
178	neutral	my last tweet didnt send  bad phone
179	fun	  omg ur alive lol  2day has gone sooo slow  im going insane grrr you doing anything tonight
180	sadness	have a headache  im going to bed  goodnight
181	neutral	  i was watching parental control
183	sadness	i just saw pics from this past thanksgiving and am sad because grandma was in them 
185	sadness	took a shift tomorrow     i dont really feel like working right now 
186	sadness	but now i have no money for a phone
189	surprise	 where are you in bris i cant hear any thunder
191	sadness	too bad the red devils  disappointing to say the least
192	surprise	i had a dream about a pretty pretty beach and there was no beach when i woke up
